Sub_id,rt,iv1,iv2
1,1082.9865525527882,noise,down
2,938.7996889660419,noise,down
3,1101.4709695340014,noise,down
4,1123.030274587368,noise,down
5,938.0515888188984,noise,down
6,864.4438260328104,noise,down
7,942.4332976098403,noise,down
8,829.9087165688153,noise,down
9,897.9811291007852,noise,down
10,983.0479336305222,noise,down
11,1031.603832194919,noise,down
12,1126.483721527296,noise,down
13,874.9243401303736,noise,down
14,1008.2018366254798,noise,down
15,1086.737605056109,noise,down
16,1038.6778581548563,noise,down
17,996.1751659474809,noise,down
18,1038.891799179285,noise,down
19,1177.8890800701643,noise,down
20,1064.1555344753083,noise,down
21,1114.173851400581,noise,down
22,1037.759447692779,noise,down
23,944.3239955555542,noise,down
24,1038.6575211681154,noise,down
25,935.8807591154248,noise,down
26,992.2427097031102,noise,down
27,1082.965473848846,noise,down
28,1067.4372871331268,noise,down
29,1036.9407368523,noise,down
30,1122.8593475772914,noise,down
31,968.7802911550632,noise,down
32,867.4369592788111,noise,down
33,1083.4222953171236,noise,down
34,1025.4992790183967,noise,down
35,1106.369856208114,noise,down
36,927.1899586981295,noise,down
37,1176.104736516452,noise,down
38,991.2531205341832,noise,down
39,979.4088078986373,noise,down
40,1115.5791833313892,noise,down
41,968.2320337209669,noise,down
42,957.3544316324288,noise,down
43,1029.725994243647,noise,down
44,1102.16168503657,noise,down
45,941.8960630726115,noise,down
46,1024.9772957322684,noise,down
47,936.104470032257,noise,down
48,849.0676760373998,noise,down
49,1055.5444748632542,noise,down
50,963.2804854498739,noise,down
51,1057.1221457159381,noise,down
52,1033.5484112249155,noise,down
53,950.5731573298161,noise,down
54,936.082375992447,noise,down
55,854.7872013621885,noise,down
56,879.1152792003306,noise,down
57,1131.7367463469127,noise,down
58,1096.2911628377942,noise,down
59,907.9529356759089,noise,down
60,828.8707954752074,noise,down
1,629.6604793157805,quiet,down
2,375.32590037541047,quiet,down
3,405.9180486718973,quiet,down
4,577.9740451490114,quiet,down
5,501.8065827113488,quiet,down
6,295.4254617874754,quiet,down
7,357.2566278592369,quiet,down
8,754.5190279126277,quiet,down
9,303.1323109498151,quiet,down
10,492.6551373171968,quiet,down
11,554.374846737356,quiet,down
12,409.3362236723326,quiet,down
13,485.6626723581752,quiet,down
14,539.0253650791724,quiet,down
15,375.80827141565237,quiet,down
16,472.59180330320584,quiet,down
17,470.8031606447805,quiet,down
